epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,952.915,0.48334,0.33479,0.8384,0.98017,0.99722,0.99447,0.90576,0.49504,0.37462,0.85499,0.0034165,0.0034165,0.0034165
135,959.121,0.48392,0.33195,0.84267,0.97788,0.99676,0.99447,0.89952,0.5153,0.38826,0.85744,0.003367,0.003367,0.003367
136,965.849,0.49327,0.33707,0.8577,0.97613,0.99722,0.99447,0.90549,0.49691,0.38092,0.85127,0.0033175,0.0033175,0.0033175
137,972.615,0.47618,0.33317,0.82654,0.9747,0.99722,0.99427,0.9074,0.48314,0.3531,0.84554,0.003268,0.003268,0.003268
138,978.701,0.46145,0.32781,0.85108,0.97419,0.99559,0.99422,0.91374,0.47123,0.34639,0.8398,0.0032185,0.0032185,0.0032185
139,985.069,0.46792,0.32757,0.85425,0.9706,0.99438,0.99433,0.91622,0.47453,0.34732,0.84037,0.003169,0.003169,0.003169
140,991.702,0.47248,0.33377,0.85573,0.97614,0.99377,0.9944,0.90778,0.48004,0.33929,0.84408,0.0031195,0.0031195,0.0031195
141,997.848,0.48785,0.34172,0.84512,0.97759,0.99433,0.9944,0.91421,0.4839,0.34114,0.84722,0.00307,0.00307,0.00307
142,1004.94,0.47472,0.32979,0.84758,0.97867,0.99552,0.995,0.92033,0.47596,0.33473,0.84448,0.0030205,0.0030205,0.0030205
143,1011.18,0.48512,0.33236,0.84741,0.98049,0.99355,0.995,0.91786,0.46208,0.3225,0.84173,0.002971,0.002971,0.002971
144,1017.77,0.46848,0.32702,0.84899,0.97811,0.99356,0.995,0.90591,0.46812,0.31383,0.84193,0.0029215,0.0029215,0.0029215
145,1024.54,0.47723,0.32299,0.84537,0.97598,0.99333,0.995,0.90563,0.47728,0.32052,0.84188,0.002872,0.002872,0.002872
146,1031,0.49873,0.34714,0.8668,0.96727,0.9921,0.995,0.90059,0.48096,0.33616,0.84399,0.0028225,0.0028225,0.0028225
147,1037.84,0.45987,0.32158,0.84696,0.96833,0.99125,0.995,0.91055,0.47191,0.33759,0.84197,0.002773,0.002773,0.002773
148,1044.24,0.46847,0.32351,0.837,0.9746,0.99037,0.995,0.91581,0.46888,0.33519,0.84068,0.0027235,0.0027235,0.0027235
149,1052.12,0.47778,0.31864,0.8608,0.98011,0.99224,0.995,0.90819,0.47277,0.33065,0.8417,0.002674,0.002674,0.002674
150,1059.02,0.47381,0.31867,0.84906,0.97229,0.99413,0.995,0.91643,0.47643,0.32366,0.84201,0.0026245,0.0026245,0.0026245
151,1066.46,0.47514,0.32623,0.84223,0.97688,0.99392,0.995,0.90887,0.48337,0.31678,0.84313,0.002575,0.002575,0.002575
152,1073.37,0.45643,0.3125,0.84082,0.97585,0.99725,0.995,0.91741,0.47396,0.30821,0.83926,0.0025255,0.0025255,0.0025255
153,1079.39,0.46505,0.31163,0.83197,0.97506,0.99742,0.995,0.91233,0.46358,0.30676,0.83463,0.002476,0.002476,0.002476
154,1086.49,0.45278,0.31325,0.83415,0.97678,0.99738,0.995,0.91281,0.45627,0.30357,0.83165,0.0024265,0.0024265,0.0024265
155,1092.46,0.46572,0.32004,0.85559,0.98148,0.99653,0.995,0.91867,0.44788,0.30326,0.82982,0.002377,0.002377,0.002377
156,1099.14,0.45531,0.31345,0.84688,0.984,0.9974,0.995,0.92407,0.45573,0.30201,0.83165,0.0023275,0.0023275,0.0023275
157,1104.93,0.43701,0.3045,0.84057,0.9835,0.99608,0.995,0.92292,0.45728,0.29591,0.83223,0.002278,0.002278,0.002278
158,1111.51,0.46748,0.31881,0.84164,0.98117,0.99354,0.995,0.92454,0.4533,0.29664,0.82955,0.0022285,0.0022285,0.0022285
159,1118.31,0.4518,0.31336,0.83675,0.97686,0.99377,0.995,0.92255,0.44577,0.29183,0.82761,0.002179,0.002179,0.002179
160,1124.22,0.45522,0.31317,0.8362,0.97401,0.99456,0.995,0.92286,0.44365,0.28673,0.8269,0.0021295,0.0021295,0.0021295
161,1130.41,0.44061,0.30596,0.83873,0.97452,0.99467,0.995,0.923,0.44868,0.2883,0.82836,0.00208,0.00208,0.00208
162,1136.75,0.44261,0.29907,0.8215,0.97712,0.99396,0.995,0.92475,0.44616,0.28898,0.82839,0.0020305,0.0020305,0.0020305
163,1143.22,0.44274,0.30657,0.84062,0.98035,0.99341,0.995,0.928,0.44046,0.28769,0.82752,0.001981,0.001981,0.001981
164,1149.26,0.44269,0.31383,0.83298,0.98146,0.99424,0.995,0.93178,0.43841,0.28451,0.82746,0.0019315,0.0019315,0.0019315
165,1155.37,0.4495,0.30235,0.83711,0.98161,0.99724,0.995,0.92842,0.43421,0.28797,0.82766,0.001882,0.001882,0.001882
166,1161.48,0.45531,0.30876,0.83531,0.9816,0.99723,0.995,0.92075,0.4368,0.29077,0.8282,0.0018325,0.0018325,0.0018325
167,1168.05,0.43086,0.29608,0.83916,0.98265,0.99508,0.995,0.91664,0.44516,0.29209,0.8294,0.001783,0.001783,0.001783
168,1174.43,0.45444,0.3081,0.84305,0.98357,0.99565,0.995,0.91993,0.44468,0.29197,0.8292,0.0017335,0.0017335,0.0017335
169,1181.64,0.46291,0.31631,0.8532,0.98338,0.99723,0.995,0.92085,0.43681,0.29225,0.82682,0.001684,0.001684,0.001684
170,1188.36,0.43028,0.29372,0.83488,0.98331,0.99429,0.995,0.92453,0.43549,0.2876,0.82527,0.0016345,0.0016345,0.0016345
171,1195.01,0.43869,0.29487,0.83584,0.9831,0.99433,0.995,0.92946,0.4309,0.28658,0.82521,0.001585,0.001585,0.001585
172,1202.81,0.44423,0.29831,0.82099,0.98218,0.99724,0.995,0.92903,0.42852,0.28722,0.82619,0.0015355,0.0015355,0.0015355
173,1208.1,0.43109,0.29391,0.83951,0.98049,0.99727,0.995,0.92792,0.42915,0.28891,0.82659,0.001486,0.001486,0.001486
174,1214.66,0.44713,0.2997,0.84169,0.97877,0.99729,0.995,0.92922,0.43032,0.28757,0.8262,0.0014365,0.0014365,0.0014365
175,1221.09,0.43474,0.29473,0.84437,0.97497,0.99729,0.995,0.92965,0.42066,0.2851,0.82252,0.001387,0.001387,0.001387
176,1227.93,0.42339,0.29632,0.83569,0.9765,0.99729,0.995,0.9338,0.41621,0.28298,0.82092,0.0013375,0.0013375,0.0013375
177,1233.94,0.43215,0.29877,0.85174,0.97652,0.99729,0.995,0.93418,0.42066,0.28066,0.82097,0.001288,0.001288,0.001288
178,1241.55,0.41647,0.28655,0.83121,0.977,0.99734,0.995,0.93032,0.42546,0.28303,0.82186,0.0012385,0.0012385,0.0012385
179,1247.78,0.42134,0.29048,0.84051,0.97709,0.99743,0.995,0.92836,0.43122,0.28384,0.82353,0.001189,0.001189,0.001189
180,1254.73,0.42118,0.28271,0.83367,0.97923,0.99748,0.995,0.92685,0.43103,0.28081,0.82485,0.0011395,0.0011395,0.0011395
181,1262.3,0.43178,0.29058,0.83191,0.97885,0.99746,0.995,0.92572,0.4308,0.27804,0.82635,0.00109,0.00109,0.00109
182,1269.7,0.41664,0.28812,0.83018,0.97921,0.99745,0.995,0.92277,0.42304,0.27735,0.82609,0.0010405,0.0010405,0.0010405
183,1277.4,0.42735,0.29119,0.82213,0.97886,0.99747,0.995,0.9284,0.42222,0.27554,0.82595,0.000991,0.000991,0.000991
184,1284.42,0.39459,0.27731,0.81846,0.97775,0.99744,0.995,0.92743,0.42358,0.2727,0.82624,0.0009415,0.0009415,0.0009415
185,1291.78,0.41329,0.28752,0.83405,0.97555,0.99742,0.995,0.92676,0.4247,0.27205,0.82562,0.000892,0.000892,0.000892
186,1298.68,0.40896,0.28039,0.83367,0.97323,0.99739,0.995,0.92926,0.42555,0.26895,0.8251,0.0008425,0.0008425,0.0008425
